line,statn_id,statn_nm,direction,time_band,day_type,headway_samples,p50_sec,p90_sec,mean_sec,std_sec,cv,over_1p5x_ratio
1호선,1001000129,종로5가,상행,퇴근,평일,14,230,334,246.0,65.5,0.267,0.0
1호선,1001000129,종로5가,하행,점심,평일,11,232,404,281.0,97.2,0.346,0.273
1호선,1001000129,종로5가,하행,출근,평일,18,217,291,223.0,59.4,0.266,0.056
1호선,1001000129,종로5가,하행,퇴근,평일,13,281,334,261.0,63.6,0.244,0.0
1호선,1001000130,종로3가,상행,점심,평일,11,284,430,292.0,111.5,0.381,0.182
1호선,1001000130,종로3가,상행,출근,평일,16,193,311,228.0,96.1,0.421,0.188
1호선,1001000130,종로3가,상행,퇴근,평일,14,236,322,247.0,63.3,0.256,0.0
1호선,1001000130,종로3가,하행,점심,평일,12,231,389,286.0,96.8,0.339,0.333
1호선,1001000130,종로3가,하행,출근,평일,17,214,298,220.0,64.7,0.295,0.059
1호선,1001000130,종로3가,하행,퇴근,평일,13,284,326,262.0,60.2,0.23,0.0
1호선,1001000131,종각,상행,점심,평일,12,258,446,301.0,111.4,0.37,0.333
1호선,1001000131,종각,상행,출근,평일,17,209,314,232.0,88.8,0.384,0.118
1호선,1001000131,종각,상행,퇴근,평일,15,224,313,242.0,60.9,0.252,0.067
1호선,1001000131,종각,하행,점심,평일,12,222,404,285.0,103.5,0.363,0.333
1호선,1001000131,종각,하행,출근,평일,19,211,302,216.0,61.9,0.287,0.053
1호선,1001000131,종각,하행,퇴근,평일,13,282,351,269.0,57.9,0.215,0.0
1호선,1001000132,시청,상행,점심,평일,11,267,432,315.0,103.1,0.328,0.273
1호선,1001000132,시청,상행,출근,평일,18,210,297,228.0,89.0,0.391,0.056
1호선,1001000132,시청,상행,퇴근,평일,14,233,314,249.0,55.9,0.224,0.0
1호선,1001000132,시청,하행,점심,평일,15,203,391,234.0,109.3,0.467,0.267
1호선,1001000132,시청,하행,출근,평일,23,197,286,184.0,85.3,0.465,0.087
1호선,1001000132,시청,하행,퇴근,평일,21,174,233,161.0,102.8,0.636,0.095
1호선,1001000133,서울,상행,점심,평일,10,289,447,324.0,107.2,0.331,0.2
1호선,1001000133,서울,상행,출근,평일,17,221,310,229.0,65.7,0.287,0.059
1호선,1001000133,서울,상행,퇴근,평일,14,232,325,245.0,50.5,0.206,0.0
1호선,1001000133,서울,하행,점심,평일,15,199,438,233.0,138.0,0.592,0.267
1호선,1001000133,서울,하행,출근,평일,22,171,312,183.0,93.3,0.509,0.136
1호선,1001000133,서울,하행,퇴근,평일,22,180,330,162.0,113.4,0.701,0.182
1호선,1001000134,남영,상행,점심,평일,10,245,444,318.0,109.4,0.344,0.5
1호선,1001000134,남영,상행,출근,평일,16,223,421,251.0,96.5,0.384,0.125
1호선,1001000134,남영,상행,퇴근,평일,16,219,338,234.0,57.5,0.246,0.125
1호선,1001000134,남영,하행,점심,평일,12,271,445,294.0,105.3,0.359,0.167
1호선,1001000134,남영,하행,출근,평일,19,194,325,217.0,72.7,0.335,0.158
1호선,1001000134,남영,하행,퇴근,평일,13,217,364,245.0,71.7,0.293,0.231
1호선,1001000135,용산,상행,점심,평일,13,208,424,247.0,131.3,0.533,0.308
1호선,1001000135,용산,상행,출근,평일,26,131,280,158.0,96.9,0.615,0.346
1호선,1001000135,용산,상행,퇴근,평일,24,164,228,150.0,77.4,0.515,0.042
1호선,1001000135,용산,하행,점심,평일,14,221,459,254.0,130.5,0.514,0.357
1호선,1001000135,용산,하행,출근,평일,28,152,266,147.0,90.6,0.617,0.107
1호선,1001000135,용산,하행,퇴근,평일,24,136,286,151.0,86.4,0.573,0.25
1호선,1001000136,노량진,상행,점심,평일,14,209,454,260.0,148.3,0.572,0.357
1호선,1001000136,노량진,상행,출근,평일,25,128,274,151.0,102.6,0.678,0.36
1호선,1001000136,노량진,상행,퇴근,평일,25,179,234,142.0,83.8,0.588,0.04
1호선,1001000136,노량진,하행,점심,평일,14,186,403,235.0,114.4,0.487,0.286
1호선,1001000136,노량진,하행,출근,평일,27,149,275,151.0,91.4,0.607,0.222
1호선,1001000136,노량진,하행,퇴근,평일,22,178,280,164.0,97.3,0.593,0.136
1호선,1001000137,대방,상행,점심,평일,13,238,445,269.0,152.8,0.568,0.385
1호선,1001000137,대방,상행,출근,평일,24,119,342,164.0,112.8,0.686,0.375
1호선,1001000137,대방,상행,퇴근,평일,23,168,208,142.0,82.7,0.583,0.043
1호선,1001000137,대방,하행,점심,평일,14,201,389,236.0,95.5,0.406,0.286
1호선,1001000137,대방,하행,출근,평일,27,149,270,145.0,84.4,0.581,0.148
1호선,1001000137,대방,하행,퇴근,평일,22,157,267,161.0,95.5,0.594,0.182
1호선,1001000138,신길,상행,점심,평일,13,222,458,264.0,154.8,0.585,0.385
1호선,1001000138,신길,상행,출근,평일,27,143,266,154.0,91.2,0.591,0.259
1호선,1001000138,신길,상행,퇴근,평일,23,166,235,155.0,83.7,0.541,0.087
1호선,1001000138,신길,하행,점심,평일,13,236,427,239.0,121.6,0.509,0.154
1호선,1001000138,신길,하행,출근,평일,25,142,284,155.0,101.1,0.652,0.2
1호선,1001000138,신길,하행,퇴근,평일,22,163,257,155.0,95.8,0.62,0.182
1호선,1001000139,영등포,상행,점심,평일,14,225,444,245.0,135.3,0.552,0.286
1호선,1001000139,영등포,상행,출근,평일,28,139,302,146.0,104.5,0.717,0.25
1호선,1001000139,영등포,상행,퇴근,평일,25,135,250,143.0,84.5,0.592,0.2
1호선,1001000139,영등포,하행,점심,평일,14,204,460,252.0,149.8,0.594,0.286
1호선,1001000139,영등포,하행,출근,평일,29,153,313,141.0,105.6,0.748,0.172
1호선,1001000139,영등포,하행,퇴근,평일,24,147,263,147.0,90.8,0.616,0.167
1호선,1001000140,신도림,상행,점심,평일,13,236,462,250.0,147.9,0.592,0.308
1호선,1001000140,신도림,상행,출근,평일,27,150,283,151.0,106.8,0.709,0.259
1호선,1001000140,신도림,상행,퇴근,평일,24,127,250,136.0,84.8,0.622,0.25
1호선,1001000140,신도림,하행,점심,평일,13,188,444,236.0,146.6,0.621,0.308
1호선,1001000140,신도림,하행,출근,평일,27,132,283,147.0,97.0,0.659,0.259
1호선,1001000140,신도림,하행,퇴근,평일,25,132,269,145.0,97.1,0.667,0.2
1호선,1001000141,구로,상행,점심,평일,15,198,588,238.0,185.0,0.778,0.2
1호선,1001000141,구로,상행,출근,평일,26,122,270,153.0,110.6,0.722,0.385
1호선,1001000141,구로,상행,퇴근,평일,25,140,306,142.0,94.2,0.663,0.2
1호선,1001000141,구로,하행,점심,평일,17,197,453,213.0,149.1,0.702,0.118
1호선,1001000141,구로,하행,출근,평일,28,152,277,153.0,92.5,0.603,0.179
1호선,1001000141,구로,하행,퇴근,평일,24,138,245,144.0,85.8,0.595,0.125
1호선,1001000142,구일,상행,점심,평일,2,462,765,614.0,214.3,0.349,0.5
1호선,1001000142,구일,상행,출근,평일,7,444,664,429.0,186.3,0.435,0.0
1호선,1001000142,구일,상행,퇴근,평일,7,394,637,383.0,154.1,0.402,0.143
1호선,1001000142,구일,하행,점심,평일,3,693,823,666.0,172.6,0.259,0.0
1호선,1001000142,구일,하행,출근,평일,5,524,579,502.0,85.6,0.17,0.0
1호선,1001000142,구일,하행,퇴근,평일,7,461,702,452.0,145.9,0.323,0.143
1호선,1001000143,개봉,상행,점심,평일,6,216,812,373.0,272.0,0.728,0.5
1호선,1001000143,개봉,상행,출근,평일,19,205,418,225.0,124.8,0.554,0.263
1호선,1001000143,개봉,상행,퇴근,평일,14,161,446,210.0,162.4,0.772,0.429
1호선,1001000143,개봉,하행,점심,평일,5,477,726,431.0,250.0,0.581,0.2
1호선,1001000143,개봉,하행,출근,평일,15,276,414,253.0,119.7,0.473,0.067
1호선,1001000143,개봉,하행,퇴근,평일,16,190,367,220.0,129.8,0.59,0.25
1호선,1001000144,오류동,상행,점심,평일,2,474,775,625.0,212.8,0.341,0.5
1호선,1001000144,오류동,상행,출근,평일,7,495,642,442.0,180.3,0.408,0.0
