line,minute_ts,records,distinct_trains,ingest_lag_avg_sec
2호선,2026-06-24T18:17:00.000Z,114,47,-32332.2
1호선,2026-06-24T18:48:00.000Z,188,45,-32328.5
2호선,2026-06-24T08:18:00.000Z,132,48,-32331.4
2호선,2026-06-24T18:55:00.000Z,143,47,-32341.5
1호선,2026-06-24T18:20:00.000Z,199,48,-32331.0
1호선,2026-06-24T08:09:00.000Z,197,51,-32309.2
9호선,2026-06-24T12:43:00.000Z,41,20,-32353.1
9호선,2026-06-24T12:26:00.000Z,35,17,-32333.0
1호선,2026-06-24T12:01:00.000Z,96,39,-32333.1
2호선,2026-06-24T07:51:00.000Z,135,50,-32329.8
2호선,2026-06-24T08:10:00.000Z,148,48,-32337.3
9호선,2026-06-24T08:45:00.000Z,98,34,-32328.4
1호선,2026-06-24T12:09:00.000Z,92,33,-32339.7
1호선,2026-06-24T12:58:00.000Z,62,32,-32359.6
9호선,2026-06-16T16:23:00.000Z,56,13,-29853.1
1호선,2026-06-24T12:37:00.000Z,157,43,-32318.3
1호선,2026-06-24T18:42:00.000Z,196,46,-32322.9
9호선,2026-06-24T08:22:00.000Z,83,35,-32319.7
2호선,2026-06-24T08:54:00.000Z,113,47,-32346.6
2호선,2026-06-24T08:33:00.000Z,124,47,-32338.7
9호선,2026-06-24T11:57:00.000Z,3,1,-32178.0
2호선,2026-06-24T18:53:00.000Z,113,42,-32348.5
9호선,2026-06-24T18:10:00.000Z,78,30,-32342.2
9호선,2026-06-24T18:24:00.000Z,68,29,-32338.6
2호선,2026-06-24T18:08:00.000Z,136,46,-32347.0
2호선,2026-06-24T18:04:00.000Z,105,42,-32347.9
2호선,2026-06-24T08:20:00.000Z,118,36,-32312.3
9호선,2026-06-24T18:35:00.000Z,88,33,-32327.1
1호선,2026-06-24T07:55:00.000Z,175,47,-32331.0
9호선,2026-06-24T18:13:00.000Z,69,29,-32346.1
1호선,2026-06-24T18:11:00.000Z,175,49,-32317.1
2호선,2026-06-24T08:04:00.000Z,100,45,-32351.5
2호선,2026-06-24T18:20:00.000Z,105,39,-32348.4
